"table_name","col_order","column_name","data_type","is_nullable","column_default","column_comment","example_value"
"patent","1","id","character varying(64)","NO",,"专利ID (Original: patent.patent_id, ES: _source.ID)","ZLW20190513000000029330"
"patent","2","external_id","character varying(64)","YES",,"外部ID (Original: patent.f_id, ES: _source.F_ID)","22097209"
"patent","3","application_number","character varying(100)","YES",,"申请号 (Original: patent.application_number, ES: _source.REQNO)","CN201810867259.4"
"patent","4","patent_number","character varying(100)","YES",,"专利号 (Original: patent.patent_number, ES: _source.PATNO)","CN201830477296.5"
"patent","5","publication_number","character varying(100)","YES",,"公开号 (Original: patent.publication_number, ES: _source.ANNO)","CN109111936A"
"patent","6","title","text","YES",,"标题 (Original: patent.title, ES: _source.TI, _source.TITLE)","一种原位蒸发加工的生物炭及其制备方法"
"patent","7","abstract","text","YES",,"摘要 (Original: patent.abstract, ES: _source.ABSTRACT)","本发明涉及生物炭技术领域,更具体地,涉及一种原位蒸发加工的生物炭及其制备方法,其中,生物炭由以下组分制成:植物纤维、石蜡、糊精和白糖,该生物炭的制备方法为:将植物纤维与石蜡、糊精、和白糖混合均匀,压制成纤维块;再将纤维块放入原位蒸发炭化装置中进行炭化处理,得生物炭制品.本发明提供的生物炭吸附性能好,性能稳定,能有效应用于污水净化,人畜粪便处理等领域,具有极高的推广价值,且制备工艺简单,生产效率高,对环境无不良影响."
"patent","8","claims","text","YES",,"权利要求 (Original: patent.patent_claims, ES: _source.DOM)","1.一种原位蒸发加工的生物炭,其特征在于,所述生物炭由以下组分制成:植物纤维、石蜡、糊精和白糖,所述石蜡质量为植物纤维质量的1~10%,所述糊精质量为植物纤维质量的1~10%,所述白糖质量为植物纤维质量的1~10%."
"patent","9","application_date","character varying(50)","YES",,"申请日 (Original: patent.appl_date, ES: _source.APPLYDATE)","2018-08-01"
"patent","10","publication_date","character varying(50)","YES",,"公开日 (Original: patent.pub_date, ES: 优先_source.GRANTDATE,其次 _source.ANNODATE)","2021-08-10"
"patent","11","application_year","integer","YES",,"申请年 (Original: patent.year, ES: _source.YEAR)","2019"
"patent","12","application_quarter","integer","YES",,"申请季度 (Original: patent.quarter, ES: _source.QUARTER)","3"
"patent","13","patent_type","character varying(100)","YES",,"专利类型 (Original: patent.patent_type, ES: _source.PATT)","发明专利"
"patent","14","legal_status_summary","character varying(100)","YES",,"法律状态摘要 (Original: patent.legal_status, ES: _source.LAWSTATUS)","专利授权"
"patent","15","country","character varying(100)","YES",,"国家 (Original: patent.country, ES: _source.COUNTRY)","中国"
"patent","16","page_count","integer","YES",,"页数 (Original: patent.page_size, ES: _source.PN)","10"
"patent","17","address","character varying(500)","YES",,"地址 (Original: patent.address, ES: _source.REQADDR)","412007 湖南省株洲市天元区泰山西路88号"
"patent","18","province","character varying(100)","YES",,"省 (Original: patent.province, ES:  _source.SHENG)","湖南"
"patent","19","city","character varying(100)","YES",,"市 (Original: patent.city, ES:  _source.SHI)","株洲"
"patent","20","district","character varying(100)","YES",,"区县 (Original: patent.county, ES:  _source.XIAN)","天元区"
"patent","21","pct_publication_data","text","YES",,"PCT公布数据 (Original: patent.pct_pub, ES: _source.PCTPUB)",
"patent","22","pct_application_data","text","YES",,"PCT申请数据 (Original: patent.pct_appl, ES: _source.PCTAPP)",
"patent","23","intl_application_data","text","YES",,"国际申请数据 (Original: patent.int_appl, ES: _source.INTAPP)","2017-06-15  PCT/JP2017/022209"
"patent","24","create_time","timestamp without time zone","NO","CURRENT_TIMESTAMP",,"2026-01-18T19:23:11.26377"
"patent","25","update_time","timestamp without time zone","NO","CURRENT_TIMESTAMP",,"2026-01-18T19:23:11"
"patent","26","is_deleted","boolean","NO","false",,"false"
"patent","27","etl_job_id","character varying(50)","YES",,,"ES_FULL_MIGRATE"
"patent_agency","1","patent_id","character varying(64)","NO",,"专利ID (Original: patent_agency.patent_id, ES: _source.ID)","ZLW20160825000000733637"
"patent_agency","2","agency_name","character varying(255)","NO",,"代理机构 (Original: patent_agency.agency, ES: _source.AGENCY)","哈尔滨东方专利事务所 23118"
"patent_agency","3","sequence","integer","NO",,"排序 (Original: patent_agency.seq)","1"
"patent_agent","1","patent_id","character varying(64)","NO",,"专利ID (Original: patent_agent.patent_id, ES: _source.ID)","ZLW20250107000000653681"
"patent_agent","2","agent_name","character varying(255)","NO",,"代理人 (Original: patent_agent.agent, ES: _source.AGENT)","彭迟香"
"patent_agent","3","sequence","integer","NO",,"排序 (Original: patent_agent.seq)","1"
"patent_applicant","1","patent_id","character varying(64)","NO",,"专利ID (Original: patent_applicant.patent_id, ES: _source.ID)","ZLW20201221000000308720"
"patent_applicant","2","applicant_name","character varying(255)","NO",,"申请人 (Original: patent_applicant.applicant, ES: _source.REQPEP)","淄博镇港电气股份有限公司"
"patent_applicant","3","sequence","integer","NO",,"排序 (Original: patent_applicant.seq)","1"
"patent_applicant_detail","1","patent_id","character varying(64)","NO",,"专利ID (Original: patent_applicant_info.patent_id, ES: _source.ID)","ZLW20230705000000064599"
"patent_applicant_detail","2","applicant_name","character varying(255)","NO",,"申请人名称 (Original: patent_applicant_info.org_name, ES: _source.ORGINFO.ORG)","浙江亿田智能厨电股份有限公司"
"patent_applicant_detail","3","org_id","character varying(64)","YES",,"机构ID (Original: patent_applicant_info.org_id, ES: _source.ORGINFO.ORGID)","LN522718"
"patent_applicant_detail","4","org_type","character varying(100)","YES",,"机构类型 (Original: patent_applicant_info.org_type, ES: _source.ORGINFO.ORGTYPE)","QY"
"patent_applicant_detail","5","relationship","character varying(255)","YES",,"关系 (Original: patent_applicant_info.relation, ES: _source.ORGINFO.RELATION)","LN522718"
"patent_applicant_detail","6","province","character varying(100)","YES",,"省 (Original: patent_applicant_info.province, ES: _source.ORGINFO.SHENG)","浙江省"
"patent_applicant_detail","7","city","character varying(100)","YES",,"市 (Original: patent_applicant_info.city, ES: _source.ORGINFO.SHI)","绍兴市"
"patent_applicant_detail","8","district","character varying(100)","YES",,"区县 (Original: patent_applicant_info.county, ES: _source.ORGINFO.XIAN)","嵊州市"
"patent_applicant_detail","9","region_code","character varying(50)","YES",,"区域代码 (Original: patent_applicant_info.admin_division_code, ES: _source.ORGINFO.AREACODE)","330683"
"patent_applicant_detail","10","sequence","integer","NO",,"排序 (Original: patent_applicant_info.seq, ES: _source.ORGINFO.CX)","1"
"patent_award","1","patent_id","character varying(64)","NO",,"专利ID (Original: patent_award.patent_id, ES: _source.ID)","ZLW20140422000000435094"
