"table_name","col_order","column_name","data_type","is_nullable","column_default","column_comment","example_value"
"think_tank","1","id","character varying(64)","NO",,"主键 (Original: tt_master.tt_id, ES: _source.ID)","e87abb5cf3e947e6af1be1c63695327e1200100"
"think_tank","2","business_code","character varying(64)","YES",,"业务编码 (Original: tt_master.ttid, ES: _source.TTID)","TTank001733"
"think_tank","3","external_id","character varying(64)","YES",,"外部系统ID (Original: tt_master.f_id, ES: _source.F_ID)","2247982"
"think_tank","4","title","text","NO",,"展示标题 (Original: tt_master.title, ES: _source.TITLE)","Global Scaling Up Handwashing Project : practical guidance for measuring handwashing behavior (English)"
"think_tank","5","title_en","text","YES",,"英文标题 (Original: tt_master.title_en, ES: _source.TIE)","Global Scaling Up Handwashing Project : practical guidance for measuring handwashing behavior (English)"
"think_tank","6","title_zh","text","YES",,"中文标题 (Original: tt_master.title_zh, ES: _source.TI)","全球扩大洗手项目：衡量洗手行为的实用指南（英文）"
"think_tank","7","abstract_zh","text","YES",,"中文摘要 (Original: tt_master.abstract_zhn, ES: _source.CAB)","抽象的<p>提倡用肥皂洗手的人一致认为，这种行为在全球范围内对健康有重要的益处。全世界都在努力在社区一级推广用肥皂洗手，这种努力既有大规模的，也有重点的(www.globalhandwashing.org…参见更多提倡用肥皂洗手的人都认为这种行为在全球范围内对健康有重要的益处。全世界都在努力在社区一级推广用肥皂洗手，这种努力既有大规模的，也有重点的(www.globalhandwashing.org). 虽然人们对用肥皂洗手对健康的好处有着广泛的共识，但对于衡量这些促进计划所要改变的行为的最佳方法，却没有达成类似的共识。现实是这样的：对于需要测量洗手行为的各种环境，没有一种普遍适用的测量洗手行为的方法是有效的、相关的、可负担的和在逻辑上可行的。本文件的目的是描述测量各种洗手行为的技术和策略场景。请参阅少-</p>"
"think_tank","8","description","text","YES",,"内容描述/英文摘要 (Original: tt_master.description, ES: _source.DESCRIPTION)","Abstract <p> Advocates of promoting handwashing with soap agree that this behavior has important health benefits across the globe. Efforts, both large-scale and focused, are underway worldwide to promote handwashing with soap at the community level (www.globalhandwashing.org...See More + Advocates of promoting handwashing with soap agree that this behavior has important health benefits across the globe. Efforts, both large-scale and focused, are underway worldwide to promote handwashing with soap at the community level (www.globalhandwashing.org). Although there is broad agreement about the health benefits of promoting handwashing with soap, there is not similar agreement about the best ways to measure the behavior that these promotion programs set out to change. The reality is this: there is no universally applicable method for measuring handwashing behavior that is valid, relevant, affordable, and logistically feasible for the various settings in which such behavior might need to be measured. The aim of this document is to describe techniques and to propose strategies for measuring handwashing behavior for a variety of scenarios. See Less -</p>"
"think_tank","9","source_org_name","character varying(255)","YES",,"智库机构名称 (Original: tt_master.tt_name, ES: _source.TTNAME)","WorldBank"
"think_tank","10","source_url","character varying(1024)","YES",,"原始URL (Original: tt_master.url, ES: _source.URL)","http://documents.worldbank.org/curated/en/635791468326129233/Global-Scaling-Up-Handwashing-Project-practical-guidance-for-measuring-handwashing-behavior"
"think_tank","11","thematic_area","character varying(255)","YES",,"主题领域 (Original: tt_master.thematic, ES: _source.THEMATIC)","防务安全"
"think_tank","12","publish_date","timestamp without time zone","YES",,"发布时间 (Original: tt_master.pub_date, ES: _source.PUBDATE)","2010-03-01T00:00:00"
"think_tank","13","publish_year","integer","YES",,"发布年份 (Original: tt_master.year, ES: _source.YEAR)","2010"
"think_tank","14","file_path","character varying(500)","YES",,"PDF文件路径 (Original: tt_master.pdf_name, ES: _source.PDFNAME)","PDF/201805/19/TTank001733/e87abb5cf3e947e6af1be1c63695327e.pdf"
"think_tank","15","file_url","character varying(1024)","YES",,"PDF下载链接 (Original: tt_master.pdf_url, ES: _source.PDFURL)","http://documents.worldbank.org/curated/en/635791468326129233/pdf/596450WP0Pract101public10BOX353742B.pdf"
"think_tank","16","create_time","timestamp without time zone","NO","CURRENT_TIMESTAMP","创建时间 (默认值: NOW())","2026-01-09T18:56:48.325142"
"think_tank","17","update_time","timestamp without time zone","NO","CURRENT_TIMESTAMP","更新时间 (默认值: NOW())","2026-01-09T18:56:48.325142"
"think_tank","18","is_deleted","boolean","NO","false","逻辑删除 (默认值: FALSE)","false"
"think_tank","19","etl_job_id","character varying(50)","YES",,,"MIGRATE_V1_20260109"
"think_tank_author","1","think_tank_id","character varying(64)","NO",,"关联主表ID (Original: tt_author.tt_id)","469d8b68958f4424998ab0e2ef35c25a"
"think_tank_author","2","author_name","character varying(255)","NO",,"作者姓名 (Original: tt_author.author, ES: _source.AUTHOR)","NU. CEPAL. División de Comercio Internacional e Integración"
"think_tank_expert_rel","1","think_tank_id","character varying(64)","NO",,"关联主表ID (Original: tt_expert_id.tt_id)","0000481eaa884126be83202656e32bc6"
"think_tank_expert_rel","2","expert_source_id","character varying(64)","NO",,"专家来源ID (Original: tt_expert_id.expert_id, ES: _source.ID_EXPERT)","811A26BDE3E66ED6"
"think_tank_region","1","think_tank_id","character varying(64)","NO",,"关联主表ID (Original: tt_state_id.tt_id)","6065175f8c624a1f9734d17ece04ef091190372"
"think_tank_region","2","region_code","character varying(64)","NO",,"地区编码 (Original: tt_state_id.state_id, ES: _source.STATEID)","nam"
"think_tank_region","3","region_name","character varying(255)","YES",,"地区名称 (Original: tt_state_id_zhn.state_id, ES: _source.STATEIDCN)","北美"
"think_tank_topic","1","think_tank_id","character varying(64)","NO",,"关联主表ID (Original: tt_topic_id.tt_id)","6065175f8c624a1f9734d17ece04ef091190372"
"think_tank_topic","2","topic_code","character varying(64)","NO",,"主题编码 (Original: tt_topic_id.topic_id, ES: _source.TOPICID)","ed"
"think_tank_topic","3","topic_name","character varying(255)","YES",,"主题名称 (Original: tt_topic_id_zhn.topic_id, ES: _source.TOPICIDCN)","教育培训"
"think_tank_type","1","think_tank_id","character varying(64)","NO",,"关联主表ID (Original: tt_type.tt_id)","06a1b03fdc994ca2bee528ec323a4af61199625"
"think_tank_type","2","type_code","character varying(64)","NO",,"类型编码 (Original: tt_type.type, ES: _source.TYPE)","r"
"think_tank_type","3","type_name","character varying(255)","YES",,"类型名称 (Original: tt_type_zhn.type, ES: _source.TYPECN)","报告"
